folioviv;foliohog;ubica_geo;tam_loc;est_socio;est_dis;upm;factor;clase_hog;sexo_jefe;edad_jefe;educa_jefe;tot_integ;percep_ing;ing_cor;ingtrab;gasto_mon;alimentos;vesti_calz;vivienda;limpieza;salud;transporte;educa_espa;personales;transf_gas
100013605;1;1001;1;3;2;1;190;2;2;48;9;3;2;16229.49;13278.68;24626.04;14732.8;0;2850;375;0;5447.24;120;1101;0
100013606;1;1001;1;3;2;1;190;2;1;46;8;4;2;31425.68;22254.09;20397.1;9321.32;0;2308.5;924;782.6;4915.68;0;2145;0
100017801;1;1001;1;3;2;2;189;2;1;26;10;2;2;33979.16;33979.16;44955.73;15081.32;1006.6;11097;2530.16;4509.77;7029.68;693.44;2766.78;240.98
100017802;1;1001;1;3;2;2;189;2;1;29;8;2;1;71557.37;71557.37;82950.42;26921.53;4509.73;13984.5;708;39.13;7022.39;26408.75;2767.3;589.09
100017803;1;1001;1;3;2;2;189;2;1;63;10;2;1;90703.26;48113.11;30140.68;11969.93;0;3179.5;920.8;2412.39;7154.75;1440;112.5;2950.81
100017804;1;1001;1;3;2;2;189;2;1;33;6;4;1;30368.84;30368.84;39991.94;7547.03;371.73;12450;408;229.87;16171.31;1035;1779;0
100017805;1;1001;1;3;2;2;189;2;1;60;3;3;2;52770.48;14803.27;20512.46;11281.98;0;3450;845.73;213.25;4200;0;521.5;0
100021401;1;1001;1;3;2;3;168;2;1;76;8;2;1;24702;0;16152.72;8254.05;215.21;2286.6;728.67;309.12;2802.53;0;1170.14;386.4
100021402;1;1001;1;3;2;3;168;2;1;74;3;2;2;24708.38;8659.56;2974.54;321.42;0;775;0;426.51;1451.61;0;0;0
100021403;1;1001;1;3;2;3;168;3;1;37;6;6;2;181234.27;11739.13;18924.95;4885.69;273.9;2907;0;1584.77;5093.9;450;3729.69;0
100021404;1;1001;1;3;2;3;168;3;1;76;3;6;5;52621.55;14478.25;20386.01;10671.16;1442.92;3123.87;870.47;58.69;925.71;1740;1553.19;0
100021405;1;1001;1;3;2;3;168;1;2;79;3;1;1;24001;0;2208.2;1266.4;0;365.8;0;0;576;0;0;0
100021406;1;1001;1;3;2;3;168;1;1;37;10;1;1;18592.52;17119.56;32516.62;8254.17;0;17719.35;1968.32;0;2849.98;0;795.46;929.34
100041901;1;1001;1;3;2;4;211;1;2;80;3;1;1;10310.51;0;3689.69;1067.11;0;2622.58;0;0;0;0;0;0
100041902;1;1001;1;3;2;4;211;3;2;46;6;2;1;17411.85;4059.78;5008.86;1819.23;0;2100.96;505.14;0;290.32;0;293.21;0
100041903;1;1001;1;3;2;4;211;3;1;76;4;3;2;29218.33;0;12646.55;8678.47;0;1765.5;0;0;2202.58;0;0;0
100041904;1;1001;1;3;2;4;211;2;1;55;8;3;1;31353.24;31304.33;18056.83;2391.35;0;9149.03;374.5;195.64;5609.56;0;336.75;0
100041905;1;1001;1;3;2;4;211;3;2;82;4;2;2;57662.22;22695.64;25459.68;7109.94;0;3650.04;641.59;0;2080.64;9179.03;2798.44;0
100044701;1;1001;1;3;2;5;173;5;1;35;7;2;2;27292.25;23992.25;16015.77;6209.96;0;675;1980;0;3900;2950.81;300;0
100044702;1;1001;1;3;2;5;173;2;1;50;10;5;3;105746.68;80836.95;99424.43;34846.91;1980.93;3210;4321.36;5399.99;17319.84;26039.6;4048.23;2257.57
100044705;1;1001;1;3;2;5;173;3;1;48;4;6;3;36599.94;33491.77;83998.93;12336.26;3003.22;11331;4416.52;481.29;10049.97;38621.3;2765.93;993.44
100045301;1;1001;1;3;2;6;201;2;1;76;4;2;1;38840.93;0;14871.41;8453.49;0;835.88;1042.22;0;2069.21;1080;1187.39;203.22
100045302;1;1001;1;3;2;6;201;2;2;35;11;4;1;42851.95;0;55968.46;9887.11;1485.96;3643.93;1631.57;320.85;3871.26;31894.97;1634.47;1598.34
100045304;1;1001;1;3;2;6;201;3;1;52;3;6;1;15157.66;2885.86;4155.23;2076.38;0;1745;148.05;0;0;0;185.8;0
100045305;1;1001;1;3;2;6;201;1;2;84;4;1;1;18033;0;1148.8;0;0;512.8;0;0;636;0;0;0
100045306;1;1001;1;3;2;6;201;2;1;82;4;2;2;44605.04;0;26891.75;17847.94;0;1322.58;1279.46;0;3320.19;1740;1381.58;0
